,cum_pnl,max_pnl,drawdown
9/12/2003,223643974.6,231739425.2,8095450.534
9/15/2003,224354454.6,231739425.2,7384970.534
9/17/2003,224055204.6,231739425.2,7684220.534
9/19/2003,224106589.6,231739425.2,7632835.534
9/22/2003,223426127.9,231739425.2,8313297.28
9/23/2003,224747162.6,231739425.2,6992262.623
9/24/2003,224220094.7,231739425.2,7519330.46
9/25/2003,224065654.7,231739425.2,7673770.46
9/26/2003,224789076.5,231739425.2,6950348.649
10/3/2003,223980016.5,231739425.2,7759408.649
10/9/2003,223350646.5,231739425.2,8388778.649
10/22/2003,222916584.9,231739425.2,8822840.249
10/23/2003,225045069.1,231739425.2,6694356.038
10/31/2003,227083369.1,231739425.2,4656056.038
11/3/2003,227109304.1,231739425.2,4630121.038
11/4/2003,226173169.1,231739425.2,5566256.038
11/6/2003,226166229.1,231739425.2,5573196.038
11/7/2003,226547199.1,231739425.2,5192226.038
11/10/2003,226738963.7,231739425.2,5000461.478
11/17/2003,228814723.7,231739425.2,2924701.478
11/18/2003,228453103.7,231739425.2,3286321.478
11/19/2003,227043917.2,231739425.2,4695507.98
11/24/2003,226250849.6,231739425.2,5488575.58
11/28/2003,225067936.9,231739425.2,6671488.281
12/2/2003,224541936.9,231739425.2,7197488.281
12/12/2003,224030917.2,231739425.2,7708507.976
12/19/2003,223295277.2,231739425.2,8444147.976
12/22/2003,225966381.8,231739425.2,5773043.376
1/13/2004,225331461.8,231739425.2,6407963.376
1/15/2004,226891996.8,231739425.2,4847428.376
1/16/2004,230328011.8,231739425.2,1411413.376
1/23/2004,229970471.8,231739425.2,1768953.376
1/29/2004,229359954.2,231739425.2,2379470.976
2/2/2004,229042163.2,231739425.2,2697261.95
2/4/2004,228999813.2,231739425.2,2739611.95
2/5/2004,228892511.8,231739425.2,2846913.396
2/10/2004,228418191.8,231739425.2,3321233.396
2/20/2004,231713301.8,231739425.2,26123.39561
2/24/2004,232316992.6,232316992.6,0
2/26/2004,231626147.6,232316992.6,690845
3/2/2004,230653660.1,232316992.6,1663332.5
3/3/2004,235678392.6,235678392.6,0
3/5/2004,235451597.4,235678392.6,226795.213
3/10/2004,236686127.4,236686127.4,0
3/11/2004,237002472.6,237002472.6,0
3/17/2004,236807144.6,237002472.6,195328
3/18/2004,236172779.6,237002472.6,829693
3/22/2004,235309835.1,237002472.6,1692637.476
3/24/2004,235048810.1,237002472.6,1953662.476
3/29/2004,234919850.1,237002472.6,2082622.476
4/1/2004,235545860.1,237002472.6,1456612.476
4/2/2004,237437558.7,237437558.7,0
4/12/2004,238773893.7,238773893.7,0
4/13/2004,238551753.7,238773893.7,222140
4/14/2004,237606281.2,238773893.7,1167612.5
4/15/2004,238913601.2,238913601.2,0
4/21/2004,238739091.2,238913601.2,174510
4/30/2004,238519323.9,238913601.2,394277.3509
5/10/2004,237073156.8,238913601.2,1840444.403
5/13/2004,237197276.8,238913601.2,1716324.403
5/18/2004,237024476.8,238913601.2,1889124.403
5/20/2004,237372069.8,238913601.2,1541531.403
5/21/2004,237640287.9,238913601.2,1273313.357
5/26/2004,237063642.9,238913601.2,1849958.357
5/27/2004,235802935.4,238913601.2,3110665.857
6/2/2004,234977020.4,238913601.2,3936580.857
